volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
334120	Southern EPR at 17.5°S (Segment K)	Undersea Features	Southern East Pacific Rise Volcanic Province	Fissure vent(s)	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	-2566	1990	-113.206	-17.436
334130	Southern EPR at 18.2°S (Segment J)	Undersea Features	Southern East Pacific Rise Volcanic Province	Fissure vent(s)	Rift zone / Oceanic crust (< 15 km)	Eruption Dated	-2650	1890	-113.35	-18.175
334140	Southern EPR at 18.5°S (Segment I)	Undersea Features	Southern East Pacific Rise Volcanic Province	Fissure vent(s)	Rift zone / Oceanic crust (< 15 km)	Eruption Dated	-2600	1915	-113.42	-18.53
335020	Hollister Ridge	Undersea Features	Pacific-Antarctic Ridge Volcanic Province	Fissure vent	Intraplate / Oceanic crust (< 15 km)	Evidence Uncertain	-1000		-139.845	-53.998
335030	Udintsev Transform	Undersea Features	Pacific-Antarctic Ridge Volcanic Province	Fissure vent	Intraplate / Oceanic crust (< 15 km)	Evidence Uncertain	-5700		-143.373	-56.153
341001	Pinacate	Mexico	Basin and Range Volcanic Province	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1183		-113.5	31.85
341003	San Luis, Isla	Mexico	Gulf of California Rift Volcanic Province	Tuff cone	Rift zone / Continental crust (> 25 km)	Evidence Credible	183	-1141	-114.4082	29.9728
341004	Jaraguay Volcanic Field	Mexico	Gulf of California Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Credible	960		-114.5	29.33
341007	San Borja Volcanic Field	Mexico	Gulf of California Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Credible	1360		-113.75	28.5
341011	Tortuga, Isla	Mexico	Gulf of California Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	224		-111.881	27.438
341012	Comondu-La Purisima	Mexico	Gulf of California Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Uncertain	780		-111.92	26.0
341020	Barcena	Mexico	Mathematicians Ridge Volcanic Province	Pyroclastic cone(s)	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	332	1953	-110.82	19.3
341021	Socorro	Mexico	Mathematicians Ridge Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	1050	1994	-110.95	18.78
341022	Durango Volcanic Field	Mexico	Basin and Range Volcanic Province	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2075		-104.45	24.15
341024	Sanganguey	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2340		-104.73	21.45
341030	Ceboruco	Mexico	Trans-Mexican Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2280	1875	-104.508	21.125
341031	Mascota Volcanic Field	Mexico	Trans-Mexican Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2525		-104.817	20.567
